vraag,antwoord
Welke rivier loopt door oelegem en  komt via het Lobroekdok bij Antwerpen in de Schelde, Het Schijn
Welke grote beek loopt nabij mechelen in de Dijle, De vrouwvliet
Welk groot meer is een broedplaats voor vogels nabij Chimay, Virelles
Hoe heten de twee grootste eilanden van Svalbard na Spitsbergen zelf, Nordaustlandet en Edgeoya
Hoe heten de twee eilanden van Nova Zembla, Yuzhny en Severny
Op welk eiland ligt Odense, Fyn
Wat is het tweede grootste en noordelijkste eiland van Denemarken, Vendsyssel-Thy
Wat is het vierde grootste eiland van Denemarken, Lolland
Welk Deens eiland staat bekend om zijn witte krijtrotsen, Mön
Wat is het grootste eiland van Griekenland, Euboea
Andere naam voor de uitgestorven buidelwolf, Tasmaanse tijger
Uitgestorven zebra-achtige, Quagga
Uitgestorven paard van de Eurasische steppe dat ook heckpaard heet, Tarpan
Op welke eilandengroep leefde een nu uitgestorven schildpaddensoort, Seychellen
Wat is de nederlandse naam voor de uitgestorven Barbary lion, Atlasleeuw
Waar leefde de nu uitgestorven Gouden pad, Costa Rica
Hoe heet deze uitgestorven Australische papegaaiensoort, Paradijsparkiet
Op welk Europees eiland leefde een endemische wolvensoort, Sicilië
Welke ondersoort van de prairiehoen overleefde nog enige tijd op Martha’s Vineyard alvorens uit te sterven, heidehoen
Welke endemische zeeleeuwensoort is uitgestorven, Japanse
Op Guam is een endemisch dier helemaal uitgestorven door de alomtegenwoordige bruine boomslang, vleermuis
De enige endemische papegaai in het oosten van de VS is uitgestorven, Carolinaparkiet
Welke slangensoort was endemisch in Mauritius voor ze uitstierf, boa
En welk beroemd uitgestorven dier was eveneens endemisch voor Mauritius, dodo
Welke kangoeroesoort is uitgestorven, Zuidelijke stekelstaartkangoeroe
Welke rivierdolfijn kwam enkel voor in de Yang Tse, Chinese vlagdolfijn
Deze nevelpanter was endemisch in een Aziatisch eiland maar is uitgestorven, Taiwan
Vogel van het jaar in België, ekster
Welke vogel van het jaar 2023 heeft als Latijnse naam Carduelis carduelis, Putter
